id,reward_value,created_at,reward_type
602,7 days,2023-10-10T07:48:22Z,1
603,10 days,2023-09-28T22:53:55Z,1
604,15 days,2024-07-03T11:08:32Z,1
605,Rp 20.000,2023-10-25T07:34:10Z,3
606,Rp 100.000,2024-02-17T16:58:24Z,3
607,7 days,2024-02-24T01:16:02Z,1
608,20 days,2024-03-01T22:34:36Z,1
609,5 days,2023-12-30T09:28:37Z,1
610,5 days,2024-01-14T03:23:43Z,1
611,20 days,2024-06-07T20:02:34Z,1
612,15 days,2023-10-09T05:33:31Z,1
613,14 days,2024-05-09T12:37:18Z,1
614,7 days,2024-02-08T16:13:04Z,1
615,10 days,2024-04-08T00:26:01Z,1
616,5 days,2024-03-14T10:34:33Z,1
617,5 days,2024-04-06T01:11:08Z,1
618,7 days,2023-12-18T00:54:11Z,1
619,15 days,2024-06-12T09:51:40Z,1
620,10 days,2023-12-21T06:56:55Z,1
621,60 days,2024-04-27T23:18:35Z,1
622,10 days,2023-11-23T07:03:06Z,1
623,10 days,2023-11-09T05:33:31Z,1
624,Rp 10.000,2023-09-04T08:06:16Z,3
625,10 days,2023-10-02T03:47:19Z,1
626,30 days,2024-06-24T20:36:15Z,1
627,20 days,2023-10-03T19:05:21Z,1
628,60 days,2024-06-04T21:22:16Z,1
629,14 days,2024-04-05T10:02:11Z,1
630,30 days,2024-08-12T18:40:53Z,1
631,15 days,2024-06-20T23:29:52Z,1
632,45 days,2024-04-22T23:19:49Z,1
633,10 days,2024-01-16T07:46:28Z,1
634,15 days,2024-01-10T23:21:11Z,1
635,30 days,2024-08-03T06:40:00Z,1
636,Rp 25.000,2023-09-26T08:46:44Z,3
637,60 days,2024-05-02T19:25:41Z,1
638,30 days,2023-12-19T01:49:18Z,1
639,10 days,2023-09-02T23:34:20Z,1
640,30 days,2024-01-10T02:35:33Z,1
641,30 days,2024-06-03T06:31:40Z,1
642,30 days,2023-11-12T07:26:58Z,1
643,45 days,2024-05-07T02:50:00Z,1
644,30 days,2023-09-28T07:44:54Z,1
645,20 days,2024-04-21T17:45:22Z,1
646,20 days,2024-02-12T10:23:21Z,1
647,60 days,2024-01-23T02:48:54Z,1
648,30 days,2024-02-25T05:00:53Z,1
649,7 days,2024-03-02T20:10:41Z,1
650,15 days,2024-07-01T20:59:07Z,1
651,7 days,2023-11-04T11:58:55Z,1
652,10 days,2023-10-26T15:49:57Z,1
653,7 days,2024-04-22T20:42:42Z,1
654,10 days,2024-03-17T21:59:33Z,1
655,20 days,2024-01-12T03:19:10Z,1
656,45 days,2024-08-16T15:19:17Z,1
657,15 days,2023-12-12T09:47:34Z,1
658,5 days,2024-05-04T04:35:31Z,1
659,5 days,2024-04-06T06:37:05Z,1
660,20 days,2024-03-25T05:29:00Z,1
661,Rp 20.000,2023-12-26T14:13:41Z,3
662,5 days,2024-02-28T04:00:50Z,1
663,15 days,2023-12-03T20:16:55Z,1
664,14 days,2024-05-15T21:27:59Z,1
665,15 days,2024-06-15T21:11:52Z,1
666,10 days,2023-10-12T07:41:29Z,1
667,20% discount,2024-02-17T21:27:20Z,2
668,15 days,2024-04-28T14:04:58Z,1
669,30 days,2023-12-04T17:53:13Z,1
670,15 days,2024-03-21T09:30:38Z,1
671,30 days,2024-08-30T01:16:21Z,1
672,10 days,2024-06-15T01:34:00Z,1
673,14 days,2024-04-25T20:58:48Z,1
674,15 days,2024-03-28T08:33:02Z,1
675,5 days,2024-04-26T19:06:19Z,1
676,15 days,2024-04-11T09:21:28Z,1
677,5% discount,2024-05-13T21:29:57Z,2
678,7 days,2024-01-16T06:20:48Z,1
679,20% discount,2024-03-14T06:03:18Z,2
680,20% discount,2024-07-10T16:24:30Z,2
681,30 days,2024-04-15T06:25:08Z,1
682,20 days,2023-09-27T03:48:22Z,1
683,20 days,2023-11-16T18:41:47Z,1
684,5 days,2024-06-01T03:34:44Z,1
685,14 days,2024-08-04T23:53:46Z,1
686,20% discount,2024-04-13T03:51:22Z,2
687,90 days,2024-08-23T23:45:12Z,1
688,25% discount,2024-04-25T07:38:44Z,2
689,10 days,2023-09-08T14:07:19Z,1
690,15 days,2023-12-31T09:50:48Z,1
691,25% discount,2023-12-21T18:42:37Z,2
692,30 days,2023-10-12T16:33:16Z,1
693,10 days,2023-11-28T10:06:40Z,1
694,15 days,2024-04-27T13:28:07Z,1
695,20 days,2023-10-28T01:55:00Z,1
696,5 days,2024-05-21T23:26:50Z,1
697,20 days,2023-12-20T21:36:16Z,1
698,15 days,2024-04-09T22:53:35Z,1
699,14 days,2024-07-24T23:58:34Z,1
700,14 days,2024-06-26T13:45:38Z,1
701,10 days,2024-04-22T18:41:32Z,1
702,7 days,2023-11-30T21:06:10Z,1
703,20 days,2024-06-26T05:05:09Z,1
704,10 days,2024-07-01T06:11:23Z,1
705,5% discount,2024-07-03T12:05:04Z,2
706,15 days,2023-09-18T22:26:31Z,1
707,20 days,2023-10-27T02:51:59Z,1
708,10 days,2023-09-15T08:36:46Z,1
709,20 days,2023-10-21T06:13:10Z,1
710,20 days,2024-04-23T04:31:11Z,1
711,10 days,2023-12-16T09:29:54Z,1
712,20 days,2024-08-16T14:19:54Z,1
713,7 days,2023-10-25T04:51:57Z,1
714,14 days,2024-03-31T11:09:44Z,1
715,5 days,2023-11-30T08:42:36Z,1
716,10 days,2024-03-29T12:22:17Z,1
717,Rp 25.000,2024-07-08T07:45:19Z,3
718,60 days,2024-08-05T04:27:44Z,1
719,10% discount,2024-02-14T18:50:50Z,2
720,20 days,2024-05-26T16:06:10Z,1
721,15 days,2023-11-09T06:28:58Z,1
722,60 days,2023-11-16T18:58:22Z,1
723,15 days,2023-09-14T19:33:01Z,1
724,7 days,2023-10-04T20:30:30Z,1
725,5 days,2023-11-12T10:46:04Z,1
726,5 days,2023-12-06T00:14:07Z,1
727,30 days,2023-10-02T03:06:55Z,1
728,30 days,2023-11-25T23:50:44Z,1
729,30 days,2024-05-07T19:46:32Z,1
730,15 days,2024-05-22T10:02:06Z,1
731,20 days,2024-08-05T20:38:56Z,1
732,20 days,2024-07-19T12:45:24Z,1
733,15 days,2023-09-18T23:00:09Z,1
734,7 days,2023-09-19T00:22:43Z,1
735,45 days,2024-07-24T04:32:39Z,1
736,90 days,2024-08-03T08:53:47Z,1
737,15 days,2023-10-04T10:11:06Z,1
738,30 days,2024-05-08T10:05:22Z,1
739,10 days,2024-08-14T04:33:32Z,1
740,45 days,2023-10-06T06:13:24Z,1
741,10 days,2023-10-15T05:50:53Z,1
742,15 days,2024-08-16T01:14:47Z,1
743,10 days,2024-03-31T10:42:55Z,1
744,60 days,2024-07-28T09:41:18Z,1
745,15 days,2024-05-16T21:34:07Z,1
746,5 days,2024-02-19T03:28:58Z,1
747,5 days,2024-06-25T20:41:57Z,1
748,14 days,2023-09-03T22:51:18Z,1
749,60 days,2024-06-02T16:28:36Z,1
750,10 days,2023-09-23T03:56:42Z,1
751,20 days,2023-10-31T07:24:16Z,1
752,10 days,2024-03-07T15:17:05Z,1
753,7 days,2023-11-27T11:50:04Z,1
754,20 days,2024-05-11T16:00:56Z,1
755,20 days,2024-07-21T12:26:41Z,1
756,7 days,2024-05-18T15:52:01Z,1
757,20 days,2024-05-03T19:49:28Z,1
758,20 days,2023-12-03T00:45:01Z,1
759,10 days,2024-02-22T03:51:57Z,1
760,60 days,2024-08-19T11:10:20Z,1
761,15% discount,2024-08-28T03:28:03Z,2
762,5 days,2024-03-24T18:54:58Z,1
763,30 days,2023-09-24T00:41:20Z,1
764,20 days,2024-06-15T03:50:49Z,1
765,30 days,2024-07-25T15:23:33Z,1
766,14 days,2023-11-22T15:05:02Z,1
767,15 days,2024-04-02T03:01:09Z,1
768,30 days,2023-12-31T01:57:45Z,1
769,30 days,2024-05-23T18:42:09Z,1
770,20 days,2023-10-14T12:30:40Z,1
771,10 days,2024-08-07T12:59:54Z,1
772,7 days,2024-03-18T20:59:43Z,1
773,20 days,2023-09-08T00:42:21Z,1
774,10 days,2023-11-25T05:57:21Z,1
775,7 days,2023-09-26T03:27:23Z,1
776,30 days,2024-07-04T19:52:42Z,1
777,20 days,2024-08-17T07:21:14Z,1
778,5 days,2023-12-20T18:27:34Z,1
779,45 days,2024-08-02T17:44:13Z,1
780,15 days,2024-08-19T23:17:05Z,1
781,20 days,2023-10-29T08:59:26Z,1
782,14 days,2024-08-20T22:51:49Z,1
783,5 days,2024-03-08T06:42:11Z,1
784,15 days,2023-12-07T10:09:45Z,1
785,90 days,2024-02-11T20:24:42Z,1
786,10 days,2023-11-02T11:01:48Z,1
787,15 days,2024-01-05T21:55:41Z,1
788,5 days,2023-11-08T18:09:20Z,1
789,7 days,2024-05-15T01:26:13Z,1
790,5 days,2023-12-10T04:30:58Z,1
791,10 days,2024-03-21T20:21:41Z,1
792,10 days,2024-05-05T22:12:55Z,1
793,14 days,2024-01-28T15:05:32Z,1
794,20 days,2024-05-20T03:14:33Z,1
795,90 days,2023-11-30T14:19:13Z,1
796,5 days,2023-12-12T06:25:30Z,1
797,10 days,2023-11-29T14:05:52Z,1
798,10 days,2023-11-15T23:48:40Z,1
799,5 days,2023-09-12T07:01:55Z,1
800,20 days,2024-07-06T08:49:08Z,1
801,Rp 50.000,2024-01-12T12:45:10Z,3
802,5 days,2023-09-01T19:36:06Z,1
803,14 days,2024-06-15T16:09:02Z,1
804,15 days,2024-03-16T15:13:07Z,1
805,14 days,2024-03-18T12:46:19Z,1
806,10 days,2023-12-02T10:45:41Z,1
807,7 days,2024-06-28T19:12:00Z,1
808,10 days,2023-12-24T05:39:47Z,1
809,10 days,2024-04-01T02:20:46Z,1
810,15 days,2024-02-03T02:09:45Z,1
811,30 days,2024-05-13T05:50:03Z,1
812,10 days,2024-01-06T04:30:38Z,1
813,50% discount,2023-12-31T17:53:54Z,2
814,Rp 50.000,2024-07-04T00:45:13Z,3
815,14 days,2024-02-23T09:21:41Z,1
816,14 days,2023-09-08T07:28:07Z,1
817,7 days,2024-03-15T17:42:46Z,1
818,45 days,2024-06-02T14:34:46Z,1
819,20 days,2023-09-02T05:45:03Z,1
820,10% discount,2024-07-07T06:00:31Z,2
821,20 days,2024-03-26T14:35:36Z,1
822,30 days,2024-03-14T11:19:59Z,1
823,10 days,2023-11-11T04:24:04Z,1
824,7 days,2023-10-03T14:53:37Z,1
825,30 days,2023-09-23T15:50:22Z,1
826,5 days,2024-04-20T12:58:10Z,1
827,10 days,2023-12-28T07:17:35Z,1
828,15 days,2024-05-04T16:52:52Z,1
829,7 days,2024-04-16T15:39:03Z,1
830,15 days,2023-10-14T09:30:30Z,1
831,45 days,2023-09-18T02:21:33Z,1
832,60 days,2024-01-06T17:25:29Z,1
833,20 days,2024-06-09T15:43:50Z,1
834,14 days,2023-09-20T02:48:21Z,1
835,14 days,2024-03-10T00:41:58Z,1
836,7 days,2024-07-02T15:47:03Z,1
837,20 days,2023-10-04T11:52:03Z,1
838,15 days,2023-11-09T23:13:24Z,1
839,10 days,2024-06-16T22:37:35Z,1
840,10 days,2024-08-07T13:08:21Z,1
841,Rp 50.000,2024-07-07T12:38:17Z,3
842,10% discount,2023-11-25T22:22:17Z,2
843,7 days,2024-08-13T08:06:40Z,1
844,15 days,2024-01-09T01:24:48Z,1
845,20 days,2024-07-16T10:55:02Z,1
846,Rp 50.000,2023-11-14T04:16:43Z,3
847,10% discount,2024-04-22T03:48:30Z,2
848,30 days,2023-12-08T20:41:48Z,1
849,20 days,2023-10-20T04:17:45Z,1
850,5 days,2024-01-04T19:16:21Z,1
851,7 days,2023-12-10T03:51:11Z,1
852,20 days,2023-11-26T04:24:57Z,1
853,60 days,2023-10-27T20:00:20Z,1
854,10 days,2023-11-28T18:00:43Z,1
855,15 days,2023-11-03T16:23:03Z,1
856,7 days,2024-06-03T04:12:51Z,1
857,15 days,2024-01-16T21:49:42Z,1
858,15 days,2024-07-19T00:36:15Z,1
859,10 days,2024-03-26T13:17:56Z,1
860,10 days,2024-08-26T20:50:02Z,1
861,30 days,2024-05-18T16:07:45Z,1
862,30 days,2023-10-30T13:51:36Z,1
863,15 days,2023-09-14T11:15:16Z,1
864,7 days,2023-09-05T22:07:56Z,1
865,7 days,2024-08-04T23:51:37Z,1
866,Rp 10.000,2023-11-02T20:44:58Z,3
867,15 days,2023-12-10T19:55:55Z,1
868,10 days,2024-05-01T01:56:58Z,1
869,7 days,2024-03-02T06:04:08Z,1
870,60 days,2023-09-06T02:27:37Z,1
871,30 days,2024-01-14T20:34:05Z,1
872,Rp 50.000,2023-11-26T16:15:36Z,3
873,5% discount,2024-01-23T20:30:39Z,2
874,5% discount,2024-04-13T14:49:46Z,2
875,5 days,2023-11-22T15:37:33Z,1
876,7 days,2023-10-17T01:03:55Z,1
877,5 days,2024-07-27T23:23:22Z,1
878,15 days,2024-06-20T11:24:47Z,1
879,30 days,2023-12-19T15:14:51Z,1
880,45 days,2024-06-30T20:50:11Z,1
881,15 days,2024-01-29T10:57:55Z,1
882,7 days,2024-08-01T04:17:48Z,1
883,30 days,2023-10-21T12:17:30Z,1
884,15 days,2024-03-24T14:37:56Z,1
885,20 days,2023-12-14T07:08:54Z,1
886,5 days,2024-08-11T09:25:41Z,1
887,7 days,2024-06-11T06:12:44Z,1
888,60 days,2024-05-17T20:23:03Z,1
889,10 days,2024-04-30T18:47:07Z,1
890,10 days,2023-12-24T12:38:04Z,1
891,20 days,2023-09-24T22:14:28Z,1
892,5 days,2023-10-31T05:21:02Z,1
893,60 days,2024-08-08T04:45:38Z,1
894,14 days,2023-10-31T18:22:00Z,1
895,5 days,2024-05-10T09:06:07Z,1
896,7 days,2024-05-02T06:53:49Z,1
897,7 days,2023-09-22T12:02:55Z,1
898,14 days,2024-02-21T21:26:11Z,1
899,5 days,2023-11-27T11:48:16Z,1
900,14 days,2023-09-17T06:29:58Z,1
901,5 days,2024-05-09T20:04:06Z,1
902,5 days,2023-10-11T21:41:06Z,1
903,10 days,2024-03-05T15:24:39Z,1
904,5 days,2024-03-09T02:19:20Z,1
905,60 days,2024-05-24T06:40:33Z,1
906,Rp 25.000,2023-12-04T16:15:51Z,3
907,15 days,2023-09-20T13:08:14Z,1
908,5 days,2024-04-28T13:55:15Z,1
909,30 days,2024-01-10T14:25:17Z,1
910,5 days,2023-11-30T11:51:38Z,1
911,60 days,2024-04-06T23:43:38Z,1
912,14 days,2024-06-03T22:06:18Z,1
913,10 days,2023-11-02T01:16:17Z,1
914,10 days,2024-05-12T00:23:37Z,1
915,60 days,2023-10-06T00:48:31Z,1
916,15 days,2024-01-07T17:30:42Z,1
917,30 days,2024-03-03T12:39:32Z,1
918,30 days,2023-09-11T11:17:55Z,1
919,10 days,2023-09-20T14:19:05Z,1
920,7 days,2023-11-14T15:15:09Z,1
921,Rp 50.000,2024-05-19T20:43:41Z,3
922,30 days,2024-08-28T11:31:51Z,1
923,30 days,2024-08-04T00:02:13Z,1
924,15 days,2023-10-16T15:15:05Z,1
925,20 days,2024-04-09T00:00:14Z,1
926,10 days,2024-08-17T19:41:25Z,1
927,15 days,2024-05-16T01:11:47Z,1
928,10 days,2024-01-16T18:27:51Z,1
929,7 days,2024-03-13T09:13:59Z,1
930,60 days,2024-06-20T13:29:20Z,1
931,60 days,2024-08-16T19:34:06Z,1
932,20 days,2024-04-09T18:18:22Z,1
933,10% discount,2024-07-14T08:28:29Z,2
934,10 days,2024-01-22T17:34:33Z,1
935,5 days,2024-07-03T19:20:34Z,1
936,20 days,2024-05-30T15:32:47Z,1
937,20 days,2024-02-20T05:28:05Z,1
938,90 days,2024-02-14T11:15:32Z,1
939,15 days,2024-07-18T13:18:13Z,1
940,5 days,2023-11-24T19:37:06Z,1
941,5 days,2024-06-02T17:47:30Z,1
942,5 days,2024-08-07T04:41:51Z,1
943,30 days,2024-01-13T18:40:43Z,1
944,45 days,2023-11-07T07:44:57Z,1
945,30 days,2024-02-23T17:24:24Z,1
946,14 days,2024-08-14T10:03:53Z,1
947,10 days,2024-07-09T22:34:13Z,1
948,15 days,2024-03-15T20:08:12Z,1
949,7 days,2023-09-20T21:40:19Z,1
950,15 days,2024-01-26T22:23:42Z,1
951,60 days,2024-04-23T00:44:58Z,1
952,20 days,2024-06-01T00:44:53Z,1
953,20 days,2024-03-26T23:21:19Z,1
954,20 days,2024-02-25T02:09:17Z,1
955,20% discount,2024-02-12T07:06:04Z,2
956,10 days,2024-03-21T00:19:23Z,1
957,20 days,2024-01-20T14:14:57Z,1
958,30 days,2024-02-10T05:33:31Z,1
959,30 days,2023-10-30T14:59:58Z,1
960,10 days,2024-03-28T20:07:33Z,1
961,45 days,2023-12-05T11:41:35Z,1
962,90 days,2024-08-06T09:21:32Z,1
963,15% discount,2024-03-25T05:22:55Z,2
964,5% discount,2024-05-18T05:52:09Z,2
965,7 days,2024-02-25T19:00:51Z,1
966,10 days,2023-12-10T11:14:55Z,1
967,15 days,2024-01-25T17:14:24Z,1
968,10 days,2024-07-09T10:30:58Z,1
969,20 days,2023-10-01T12:04:49Z,1
970,10 days,2024-06-18T13:47:52Z,1
971,10 days,2024-01-14T14:43:39Z,1
972,20% discount,2023-11-27T15:00:21Z,2
973,5 days,2023-10-16T23:36:57Z,1
974,7 days,2024-05-19T21:55:40Z,1
975,15 days,2023-10-09T16:59:35Z,1
976,25% discount,2024-03-07T22:42:20Z,2
977,15 days,2023-11-18T17:05:17Z,1
978,60 days,2024-03-24T02:13:25Z,1
979,7 days,2024-04-24T14:40:20Z,1
980,30 days,2024-04-21T09:33:57Z,1
981,7 days,2023-11-19T01:40:59Z,1
982,15 days,2024-05-18T06:31:29Z,1
983,14 days,2024-07-09T20:12:38Z,1
984,60 days,2023-12-27T05:16:22Z,1
985,30 days,2023-11-13T16:34:38Z,1
986,15 days,2024-05-13T12:49:13Z,1
987,30 days,2024-04-07T21:43:28Z,1
988,5 days,2023-10-20T06:19:53Z,1
989,30 days,2023-11-14T00:43:14Z,1
990,10 days,2024-04-30T04:11:06Z,1
991,30 days,2024-03-31T20:45:52Z,1
992,20 days,2024-08-02T13:04:04Z,1
993,14 days,2024-05-22T19:46:39Z,1
994,20 days,2024-02-20T13:30:12Z,1
995,10 days,2024-04-06T11:54:42Z,1
996,45 days,2024-07-06T12:00:53Z,1
997,45 days,2024-02-04T00:17:03Z,1
998,10 days,2024-06-11T08:00:12Z,1
999,14 days,2023-10-25T15:27:25Z,1
1000,5 days,2024-01-29T02:10:29Z,1
1001,15 days,2024-08-17T15:22:38Z,1
1002,15 days,2023-10-26T11:35:02Z,1
1003,45 days,2023-11-17T19:16:49Z,1
1004,10 days,2024-03-23T10:58:42Z,1
1005,5 days,2024-04-04T20:00:17Z,1
1006,20 days,2024-03-18T13:33:35Z,1
1007,7 days,2023-09-15T02:01:11Z,1
1008,7 days,2023-11-22T09:50:23Z,1
1009,30 days,2024-07-05T15:28:13Z,1
1010,7 days,2023-09-16T09:26:44Z,1
1011,20 days,2024-05-01T16:04:29Z,1
1012,Rp 100.000,2024-02-03T06:33:49Z,3
1013,14 days,2023-11-21T21:13:55Z,1
1014,14 days,2024-03-17T16:38:38Z,1
1015,20 days,2024-03-11T21:57:39Z,1
1016,90 days,2024-06-26T07:27:29Z,1
1017,20 days,2023-11-18T21:33:32Z,1
1018,7 days,2024-02-19T02:27:55Z,1
1019,5 days,2023-10-01T13:40:27Z,1
1020,15 days,2024-05-29T06:54:11Z,1
1021,20 days,2024-08-29T11:17:38Z,1
1022,10 days,2024-08-24T23:44:48Z,1
1023,15 days,2024-06-26T22:42:44Z,1
1024,7 days,2024-03-18T15:28:50Z,1
1025,20 days,2023-09-17T11:27:18Z,1
1026,10 days,2024-06-11T02:48:51Z,1
1027,15 days,2024-01-16T19:46:17Z,1
1028,20 days,2024-07-12T11:54:11Z,1
1029,Rp 10.000,2023-12-23T07:11:08Z,3
1030,30 days,2024-05-31T09:49:56Z,1
1031,20 days,2023-11-10T19:26:29Z,1
1032,7 days,2023-09-10T11:27:24Z,1
1033,15 days,2024-03-27T00:03:55Z,1
1034,30 days,2024-03-13T02:47:36Z,1
1035,30 days,2024-07-19T13:15:51Z,1
1036,15 days,2024-04-20T11:08:18Z,1
1037,30 days,2023-12-05T23:36:04Z,1
1038,10 days,2023-11-18T07:54:33Z,1
1039,10 days,2024-06-18T20:23:03Z,1
1040,10 days,2024-08-20T17:43:01Z,1
1041,50% discount,2024-05-16T11:07:40Z,2
1042,30 days,2023-11-29T21:11:28Z,1
1043,10 days,2024-05-06T12:58:33Z,1
1044,20 days,2023-12-06T14:09:19Z,1
1045,7 days,2024-06-20T10:43:34Z,1
1046,15 days,2024-07-20T18:15:40Z,1
1047,15 days,2023-11-03T21:26:55Z,1
1048,15 days,2024-07-07T22:38:20Z,1
1049,30 days,2024-07-16T17:28:52Z,1
1050,10 days,2024-07-24T05:01:08Z,1
1051,90 days,2023-10-03T17:55:31Z,1
1052,7 days,2024-03-23T20:55:44Z,1
1053,30 days,2023-09-12T16:18:27Z,1
1054,14 days,2024-07-07T08:57:37Z,1
1055,5 days,2024-04-03T15:52:05Z,1
1056,7 days,2023-10-10T04:07:59Z,1
1057,50% discount,2023-09-22T14:47:40Z,2
1058,20 days,2024-01-29T22:21:35Z,1
1059,60 days,2023-09-10T03:02:31Z,1
1060,45 days,2024-03-25T00:06:25Z,1
1061,Rp 100.000,2024-03-05T10:52:53Z,3
1062,15 days,2024-06-19T12:08:40Z,1
1063,15 days,2023-11-13T01:56:08Z,1
1064,5 days,2023-11-04T13:07:26Z,1
1065,20 days,2023-10-26T08:01:34Z,1
1066,14 days,2023-09-19T21:12:09Z,1
1067,20 days,2023-12-24T13:51:03Z,1
1068,10 days,2024-08-10T06:24:41Z,1
1069,20 days,2023-09-11T12:28:39Z,1
1070,7 days,2024-05-16T07:15:24Z,1
1071,7 days,2024-03-25T01:32:41Z,1
1072,5 days,2024-03-26T08:12:31Z,1
1073,10 days,2024-03-13T05:56:37Z,1
1074,Rp 20.000,2024-05-31T09:17:35Z,3
1075,14 days,2024-01-25T08:46:27Z,1
1076,45 days,2023-11-09T21:35:25Z,1
1077,50% discount,2023-12-02T06:48:03Z,2
1078,15 days,2024-07-02T08:16:56Z,1
1079,10 days,2024-01-30T22:27:45Z,1
1080,14 days,2024-04-17T00:10:29Z,1
1081,30 days,2024-06-20T20:51:41Z,1
1082,7 days,2024-06-03T07:32:42Z,1
1083,5 days,2024-01-02T21:47:15Z,1
1084,15 days,2024-03-30T08:45:46Z,1
1085,45 days,2024-01-28T13:11:15Z,1
1086,7 days,2024-05-01T08:21:55Z,1
1087,14 days,2024-01-25T19:35:17Z,1
1088,20 days,2024-06-21T16:02:10Z,1
1089,7 days,2024-02-14T12:57:13Z,1
1090,20 days,2024-03-11T01:08:48Z,1
1091,30 days,2023-12-01T09:19:41Z,1
1092,14 days,2024-06-26T04:51:21Z,1
1093,10 days,2024-01-25T23:28:45Z,1
1094,5 days,2024-02-26T20:14:45Z,1
1095,20% discount,2023-10-06T17:33:28Z,2
1096,10% discount,2024-02-17T15:29:38Z,2
1097,10 days,2024-06-01T17:57:28Z,1
1098,10 days,2023-11-04T06:33:18Z,1
1099,30 days,2023-10-30T22:03:19Z,1
1100,10 days,2023-11-07T22:40:16Z,1
1101,15 days,2024-04-12T23:14:07Z,1
1102,30 days,2024-07-12T02:11:39Z,1
1103,45 days,2023-11-27T18:02:33Z,1
1104,7 days,2023-09-10T18:41:44Z,1
1105,7 days,2024-04-21T17:42:05Z,1
1106,15 days,2023-11-29T15:14:25Z,1
1107,14 days,2023-09-29T08:43:27Z,1
1108,10 days,2024-02-18T23:57:17Z,1
1109,5 days,2024-01-09T21:24:20Z,1
1110,7 days,2024-07-09T09:19:19Z,1
1111,15 days,2024-05-12T02:50:24Z,1
1112,14 days,2023-12-02T09:38:49Z,1
1113,7 days,2023-10-09T14:03:27Z,1
1114,Rp 25.000,2023-10-30T11:25:10Z,3
1115,Rp 10.000,2024-08-01T14:09:48Z,3
1116,45 days,2023-09-02T03:30:01Z,1
1117,7 days,2024-02-21T17:23:56Z,1
1118,60 days,2024-02-22T18:32:48Z,1
1119,30 days,2023-09-30T10:03:27Z,1
1120,10 days,2024-01-24T19:11:00Z,1
1121,30 days,2024-07-14T16:32:49Z,1
1122,5 days,2024-01-09T18:35:23Z,1
1123,30 days,2023-11-17T23:10:28Z,1
1124,15 days,2023-10-16T08:27:51Z,1
1125,30 days,2024-03-03T11:48:42Z,1
1126,7 days,2023-09-11T11:38:50Z,1
1127,7 days,2024-05-21T14:30:32Z,1
1128,10 days,2023-12-14T09:07:26Z,1
1129,10 days,2023-09-06T22:49:58Z,1
1130,20 days,2024-07-20T17:06:51Z,1
1131,7 days,2023-09-07T23:36:29Z,1
1132,15 days,2024-08-29T00:25:12Z,1
1133,15% discount,2024-04-06T20:28:19Z,2
1134,5% discount,2024-08-25T10:01:38Z,2
1135,15 days,2023-10-09T15:00:01Z,1
1136,Rp 50.000,2023-10-05T01:13:46Z,3
1137,10 days,2024-06-23T18:43:51Z,1
1138,Rp 10.000,2024-06-27T06:39:02Z,3
1139,Rp 20.000,2023-12-08T00:52:03Z,3
1140,7 days,2024-07-10T01:36:33Z,1
1141,7 days,2024-01-21T18:20:03Z,1
1142,20 days,2024-01-30T18:41:01Z,1
1143,7 days,2024-05-30T03:31:40Z,1
1144,Rp 50.000,2023-11-21T14:44:04Z,3
1145,Rp 20.000,2024-03-07T17:55:36Z,3
1146,20 days,2024-03-08T17:20:36Z,1
1147,15 days,2023-10-22T17:46:12Z,1
1148,14 days,2023-11-20T10:42:31Z,1
1149,10 days,2023-12-21T07:52:47Z,1
1150,7 days,2023-10-05T17:59:26Z,1
1151,30 days,2023-09-30T04:50:20Z,1
1152,30 days,2023-12-26T04:45:52Z,1
1153,15 days,2023-11-13T01:33:25Z,1
1154,10 days,2024-01-09T05:12:43Z,1
1155,10 days,2024-06-18T19:10:07Z,1
1156,10 days,2024-07-03T02:01:15Z,1
1157,30 days,2024-06-24T16:43:26Z,1
1158,10% discount,2024-04-03T08:21:31Z,2
1159,90 days,2024-02-25T22:06:37Z,1
1160,10 days,2023-11-11T12:04:22Z,1
1161,10 days,2024-07-18T03:11:28Z,1
1162,5 days,2023-10-05T14:11:07Z,1
1163,20 days,2023-09-17T16:31:45Z,1
1164,20 days,2024-01-27T11:54:30Z,1
1165,20 days,2024-05-04T14:37:42Z,1
1166,15 days,2024-01-27T04:04:10Z,1
1167,7 days,2024-02-08T06:28:56Z,1
1168,7 days,2023-10-07T16:35:08Z,1
1169,15 days,2024-07-19T13:40:19Z,1
1170,30 days,2024-03-18T14:13:38Z,1
1171,7 days,2024-07-06T03:15:59Z,1
1172,30 days,2024-08-22T12:45:50Z,1
1173,14 days,2024-01-12T04:59:30Z,1
1174,15 days,2023-09-29T08:31:14Z,1
1175,5 days,2024-07-09T15:48:07Z,1
1176,20 days,2024-03-19T03:27:00Z,1
1177,10 days,2023-10-26T05:29:26Z,1
1178,7 days,2024-05-10T16:08:44Z,1
1179,5 days,2024-04-27T01:05:22Z,1
1180,5 days,2023-09-18T02:11:50Z,1
1181,90 days,2023-10-24T09:26:44Z,1
1182,45 days,2023-11-22T06:42:14Z,1
1183,15 days,2024-07-22T02:49:12Z,1
1184,15 days,2024-05-15T00:16:42Z,1
1185,20% discount,2024-07-07T22:42:19Z,2
1186,5 days,2023-11-24T00:40:35Z,1
1187,7 days,2023-11-13T12:53:18Z,1
1188,45 days,2023-09-20T14:54:12Z,1
1189,15 days,2024-03-08T11:18:47Z,1
1190,15 days,2024-01-07T08:15:42Z,1
1191,30 days,2024-02-02T13:02:27Z,1
1192,15 days,2023-12-14T13:22:43Z,1
1193,5 days,2023-10-27T11:36:26Z,1
1194,7 days,2023-09-23T20:54:08Z,1
